derived_feature_id,production_family,base_fields,base_field_families,transform,window_hours,requires_agg_features_available_mask,feature_available_lag_bars,cross_symbol_scope,zero_fill_allowed,missing_as_signal_allowed,same_hour_execution_allowed
Decay_12h__agg_avg_agg_trade_notional,rolling_self_reproduction,agg_avg_agg_trade_notional,activity_liquidity,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_avg_trade_notional_24h,rolling_self_reproduction,agg_avg_trade_notional_24h,rolling,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_avg_trade_notional_4h,rolling_self_reproduction,agg_avg_trade_notional_4h,rolling,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_avg_underlying_trade_notional,rolling_self_reproduction,agg_avg_underlying_trade_notional,activity_liquidity,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_avg_underlying_trades_per_agg,rolling_self_reproduction,agg_avg_underlying_trades_per_agg,other,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_btcusdt_flow_imbalance_4h,rolling_self_reproduction,agg_btcusdt_flow_imbalance_4h,cross_symbol,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_buy_agg_trade_count,rolling_self_reproduction,agg_buy_agg_trade_count,flow,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_buy_notional,rolling_self_reproduction,agg_buy_notional,flow,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_buy_notional_share,rolling_self_reproduction,agg_buy_notional_share,flow,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_buy_quantity,rolling_self_reproduction,agg_buy_quantity,flow,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_buy_sell_notional_ratio,rolling_self_reproduction,agg_buy_sell_notional_ratio,flow,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_buy_sell_vwap_spread_bps,rolling_self_reproduction,agg_buy_sell_vwap_spread_bps,price_microstructure,Decay,12,True,12,same_symbol,False,False,False
Decay_12h__agg_buy_underlying_trade_count,rolling_self_reproduction,agg_buy_underlying_trade_count,flow,Decay,12,True,12,same_symbol,False,False,False
