blueprint_id,parent_subgraph_id,child_subgraph_id,arg_index,parent_expression,child_expression
a7ff55r3_620f368be88b1cad,sg_2ea7bb7cddb7dd7d,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_620f368be88b1cad,sg_2ea7bb7cddb7dd7d,sg_4d134bc072212ace,1,,24
a7ff55r3_4c817ac72ccefc81,sg_1095ba1e4e30c6a7,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_4c817ac72ccefc81,sg_1095ba1e4e30c6a7,sg_c097638f92de80ba,1,,72
a7ff55r3_b44111aeb5a4f0f0,sg_dd07b47ae2562131,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_b44111aeb5a4f0f0,sg_dd07b47ae2562131,sg_c097638f92de80ba,1,,72
a7ff55r3_a82c96426727d8a1,sg_339385e68bfc44db,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_a82c96426727d8a1,sg_339385e68bfc44db,sg_1b6453892473a467,1,,4
a7ff55r3_2eb852791ae842a7,sg_3e4ecd2e2443289d,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_2eb852791ae842a7,sg_3e4ecd2e2443289d,sg_1b6453892473a467,1,,4
a7ff55r3_7ab533ff6e92cce2,sg_fe6623726f24d3e1,sg_3e4ecd2e2443289d,0,,"Mean(trade_quote_volume,4)"
a7ff55r3_7ab533ff6e92cce2,sg_3e4ecd2e2443289d,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_7ab533ff6e92cce2,sg_3e4ecd2e2443289d,sg_1b6453892473a467,1,,4
a7ff55r3_576e78e001d23f91,sg_3bb8897336f358f3,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_576e78e001d23f91,sg_3bb8897336f358f3,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_dc78d04c1035bb7e,sg_6d4a124fb7453893,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_dc78d04c1035bb7e,sg_6d4a124fb7453893,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_7fd99f567a3e968a,sg_57d399865f9dd70c,sg_6d4a124fb7453893,0,,"Mean(trade_quote_volume,8)"
a7ff55r3_7fd99f567a3e968a,sg_6d4a124fb7453893,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_7fd99f567a3e968a,sg_6d4a124fb7453893,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_c08a6ee85b3941f3,sg_e21f7ed07cbcea53,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_c08a6ee85b3941f3,sg_e21f7ed07cbcea53,sg_4d134bc072212ace,1,,24
a7ff55r3_da89968847378326,sg_a75df10dd9f79542,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_da89968847378326,sg_a75df10dd9f79542,sg_4d134bc072212ace,1,,24
a7ff55r3_10643f012f22b237,sg_3a52eaa5ba5e6894,sg_a75df10dd9f79542,0,,"Mean(trade_quote_volume,24)"
a7ff55r3_10643f012f22b237,sg_a75df10dd9f79542,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_10643f012f22b237,sg_a75df10dd9f79542,sg_4d134bc072212ace,1,,24
a7ff55r3_4513b00367b82490,sg_36705b7f925a91dd,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_4513b00367b82490,sg_36705b7f925a91dd,sg_c097638f92de80ba,1,,72
a7ff55r3_c6237b7f9ee13715,sg_53afb9d3180af45e,sg_eb8a24b1083f7b7a,0,,trade_quote_volume
a7ff55r3_c6237b7f9ee13715,sg_53afb9d3180af45e,sg_c097638f92de80ba,1,,72
a7ff55r3_9d792a8390b54ac8,sg_abb414efb0a02c0b,sg_728d6502609169e0,0,,trade_volume
a7ff55r3_9d792a8390b54ac8,sg_abb414efb0a02c0b,sg_1b6453892473a467,1,,4
a7ff55r3_4b4fb24f86e233f2,sg_eecb865fab2bc504,sg_728d6502609169e0,0,,trade_volume
